League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
Bundesliga,FC Heidenheim 1846,41,Diant Ramaj,G,24,Germany,31,,1,2,0,100,67,2025-26
Bundesliga,FC Heidenheim 1846,34,Paul Tschernuth,G,24,Austria,0,,0,0,0,0,0,2025-26
Bundesliga,FC Heidenheim 1846,40,Frank Feller,G,22,Germany,3,,0,0,0,15,5,2025-26
Bundesliga,FC Heidenheim 1846,6,Patrick Mainka,D,31,Germany,34,2,2,1,0,,,2025-26
Bundesliga,FC Heidenheim 1846,32,Leart Paqarada,D,31,Kosovo,1,0,0,0,0,,,2025-26
Bundesliga,FC Heidenheim 1846,2,Marnon Busch,D,31,Germany,29,1,5,4,0,,,2025-26
Bundesliga,FC Heidenheim 1846,5,Benedikt Gimber,D,29,Germany,21,0,0,6,0,,,2025-26
Bundesliga,FC Heidenheim 1846,19,Jonas Föhrenbach,D,30,Germany,27,1,1,3,0,,,2025-26
Bundesliga,FC Heidenheim 1846,25,Leonidas Stergiou,D,24,Switzerland,6,0,0,0,0,,,2025-26
Bundesliga,FC Heidenheim 1846,4,Tim Siersleben,D,26,Germany,15,0,0,2,0,,,2025-26
Bundesliga,FC Heidenheim 1846,23,Omar-Haktab Traoré,D,28,Germany,26,0,2,2,0,,,2025-26
Bundesliga,FC Heidenheim 1846,28,Adam Kölle,D,20,Germany,6,1,0,1,0,,,2025-26
Bundesliga,FC Heidenheim 1846,30,Niklas Dorsch,M,28,,27,0,1,2,0,,,2025-26
Bundesliga,FC Heidenheim 1846,21,Adrian Beck,M,29,,9,1,1,1,0,,,2025-26
Bundesliga,FC Heidenheim 1846,3,Jan Schöppner,M,27,,29,3,3,5,0,,,2025-26
Bundesliga,FC Heidenheim 1846,16,Julian Niehues,M,25,,17,3,0,1,0,,,2025-26
Bundesliga,FC Heidenheim 1846,22,Arijon Ibrahimovic,M,20,,,,,,,,,2025-26
Bundesliga,FC Heidenheim 1846,20,Luca Kerber,M,24,,8,2,0,3,0,,,2025-26
