League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
English Championship,Birmingham City,21,Ryan Allsop,G,34,England,11,,0,2,0,19,15,2025-26
English Championship,Birmingham City,25,James Beadle,G,22,England,35,,0,4,0,91,41,2025-26
English Championship,Birmingham City,48,Bradley Mayo,G,21,England,0,,0,0,0,0,0,2025-26
English Championship,Birmingham City,6,Jack Robinson,D,32,England,18,1,1,3,2,,,2025-26
English Championship,Birmingham City,26,Bright Osayi-Samuel,D,28,Nigeria,27,0,1,6,0,,,2025-26
English Championship,Birmingham City,5,Phil Neumann,D,29,Germany,32,3,0,4,0,,,2025-26
English Championship,Birmingham City,20,Alex Cochrane,D,26,England,21,1,4,3,0,,,2025-26
English Championship,Birmingham City,31,Kai Wagner,D,29,Germany,16,0,3,1,0,,,2025-26
English Championship,Birmingham City,4,Christoph Klarer,D,26,Austria,43,3,0,8,1,,,2025-26
English Championship,Birmingham City,37,Jonathan Panzo,D,25,England,8,0,0,1,0,,,2025-26
English Championship,Birmingham City,3,Lee Buchanan,D,25,England,0,0,0,0,0,,,2025-26
English Championship,Birmingham City,2,Ethan Laird,D,24,England,20,0,1,2,0,,,2025-26
English Championship,Birmingham City,45,William Burrell,D,19,England,0,0,0,0,0,,,2025-26
English Championship,Birmingham City,16,Patrick Roberts,M,29,England,36,4,4,2,0,,,2025-26
English Championship,Birmingham City,8,Paik Seung-Ho,M,29,South Korea,43,4,1,6,0,,,2025-26
English Championship,Birmingham City,27,Kanya Fujimoto,M,27,Japan,5,0,0,0,0,,,2025-26
English Championship,Birmingham City,7,Tommy Doyle,M,24,England,38,0,3,1,1,,,2025-26
English Championship,Birmingham City,14,Jhon Solis,M,21,Colombia,17,1,0,3,1,,,2025-26
English Championship,Birmingham City,24,Tomoki Iwata,M,29,Japan,45,3,1,9,0,,,2025-26
English Championship,Birmingham City,47,George Wynne,M,19,England,0,0,0,0,0,,,2025-26
English Championship,Birmingham City,33,Marvin Ducksch,F,32,Germany,34,10,1,3,0,,,2025-26
English Championship,Birmingham City,23,Carlos Vicente,F,27,Spain,17,3,1,1,0,,,2025-26
English Championship,Birmingham City,10,Demarai Gray,F,30,Jamaica,37,5,5,5,0,,,2025-26
English Championship,Birmingham City,9,Kyogo Furuhashi,F,31,Japan,28,1,0,2,0,,,2025-26
