League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
Eredivisie,AZ Alkmaar,41,Jeroen Zoet,G,35,Netherlands,11,,1,0,0,31,15,2025-26
Eredivisie,AZ Alkmaar,12,Hobie Verhulst,G,33,Netherlands,1,,0,0,0,2,0,2025-26
Eredivisie,AZ Alkmaar,31,Daniel Deen,G,23,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,AZ Alkmaar,1,Rome-Jayden Owusu-Oduro,G,22,Netherlands,23,,1,1,0,71,36,2025-26
Eredivisie,AZ Alkmaar,71,Jur Schipper,G,20,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,AZ Alkmaar,34,Mees De Wit,D,28,Netherlands,31,3,5,9,0,,,2025-26
Eredivisie,AZ Alkmaar,30,Denso Kasius,D,23,Netherlands,17,2,2,3,0,,,2025-26
Eredivisie,AZ Alkmaar,5,Alexandre Penetra,D,24,Portugal,33,2,1,5,0,,,2025-26
Eredivisie,AZ Alkmaar,4,Maxim Dekker,D,22,Netherlands,6,0,0,0,0,,,2025-26
Eredivisie,AZ Alkmaar,3,Wouter Goes,D,22,Netherlands,33,1,0,9,0,,,2025-26
Eredivisie,AZ Alkmaar,2,Seiya Maikuma,D,28,Japan,7,0,0,0,0,,,2025-26
Eredivisie,AZ Alkmaar,23,Billy Van Duijl,D,20,Netherlands,7,1,0,0,0,,,2025-26
Eredivisie,AZ Alkmaar,,Jari De Busser,G,26,Belgium,,,,,,,,2025-26
Eredivisie,AZ Alkmaar,,Lewis Schouten,D,22,Netherlands,,,,,,,,2025-26
Eredivisie,AZ Alkmaar,22,Elijah Dijkstra,D,19,Netherlands,,,,,,,,2025-26
Eredivisie,AZ Alkmaar,18,Rion Ichihara,D,21,Japan,,,,,,,,2025-26
Eredivisie,AZ Alkmaar,15,Mateo Chávez,D,22,Mexico,,,,,,,,2025-26
Eredivisie,AZ Alkmaar,46,Mathijs Menu,D,21,Netherlands,,,,,,,,2025-26
Eredivisie,AZ Alkmaar,48,Jesper Zwart,D,19,Netherlands,,,,,,,,2025-26
Eredivisie,AZ Alkmaar,8,Jordy Clasie,M,35,Netherlands,,,,,,,,2025-26
Eredivisie,Ajax Amsterdam,26,Maarten Paes,G,28,Indonesia,13,,0,0,0,37,12,2025-26
Eredivisie,Ajax Amsterdam,1,Vitezslav Jaros,G,25,Czechia,19,,0,1,0,62,23,2025-26
Eredivisie,Ajax Amsterdam,52,Paul Reverson,G,21,Ghana,0,,0,0,0,0,0,2025-26
Eredivisie,Ajax Amsterdam,62,Aymean El Hani,G,19,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,Ajax Amsterdam,12,Joeri Heerkens,G,20,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,Ajax Amsterdam,58,Valentijn Van Der Velde,G,19,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,Ajax Amsterdam,47,Oleksandr Zinchenko,D,29,Ukraine,2,0,0,0,0,,,2025-26
Eredivisie,Ajax Amsterdam,32,Takehiro Tomiyasu,D,27,Japan,9,0,1,0,1,,,2025-26
Eredivisie,Ajax Amsterdam,4,Kou Itakura,D,29,Japan,19,1,0,2,0,,,2025-26
Eredivisie,Ajax Amsterdam,5,Owen Wijndal,D,26,Netherlands,19,1,0,3,0,,,2025-26
Eredivisie,Ajax Amsterdam,37,Josip Sutalo,D,26,Croatia,24,0,0,1,0,,,2025-26
Eredivisie,Ajax Amsterdam,15,Youri Baas,D,23,Netherlands,33,4,1,2,1,,,2025-26
Eredivisie,Ajax Amsterdam,3,Anton Gaaei,D,23,Denmark,28,1,4,3,0,,,2025-26
Eredivisie,Ajax Amsterdam,2,Lucas Rosa,D,26,Brazil,29,0,0,4,0,,,2025-26
Eredivisie,Ajax Amsterdam,,Ethan Butera,D,20,Belgium,,,,,,,,2025-26
Eredivisie,Excelsior,1,Stijn van Gassel,G,29,Netherlands,32,,1,0,0,117,46,2025-26
Eredivisie,Excelsior,16,Calvin Raatsie,G,24,Netherlands,2,,0,0,0,10,6,2025-26
Eredivisie,Excelsior,40,Tijmen Holla,G,20,Netherlands,1,,0,0,0,0,4,2025-26
Eredivisie,Excelsior,2,Ilias Bronkhorst,D,29,Netherlands,33,2,0,6,0,,,2025-26
Eredivisie,Excelsior,12,Arthur Zagre,D,24,France,30,4,2,5,1,,,2025-26
Eredivisie,Excelsior,15,Simon Janssen,D,25,Netherlands,13,0,1,0,0,,,2025-26
Eredivisie,Excelsior,,Hamdi Akujobi,D,26,Netherlands,,,,,,,,2025-26
Eredivisie,Excelsior,4,Casper Widell,D,23,Sweden,34,1,1,2,0,,,2025-26
Eredivisie,Excelsior,3,Rick Meissen,D,24,Netherlands,33,0,3,4,0,,,2025-26
Eredivisie,Excelsior,5,Stan Hendrikx,D,23,Netherlands,10,0,0,0,1,,,2025-26
Eredivisie,Excelsior,14,Lewis Schouten,D,22,Netherlands,24,1,0,1,0,,,2025-26
Eredivisie,Excelsior,25,Gijs Van Den Berg,M,20,Netherlands,0,0,0,0,0,,,2025-26
Eredivisie,Excelsior,,Celton Biai,G,25,Guinea-Bissau,,,,,,,,2025-26
Eredivisie,Excelsior,,Jan Plug,D,21,Netherlands,,,,,,,,2025-26
Eredivisie,Excelsior,,Nolan Martens,D,22,Belgium,,,,,,,,2025-26
Eredivisie,Excelsior,,Marlon Van De Wetering,D,18,Jamaica,,,,,,,,2025-26
Eredivisie,Excelsior,8,Mathijs Tielemans,M,24,Netherlands,,,,,,,,2025-26
Eredivisie,Excelsior,20,Lennard Hartjes,M,23,Netherlands,,,,,,,,2025-26
Eredivisie,Excelsior,10,Noah Naujoks,M,24,Netherlands,,,,,,,,2025-26
Eredivisie,Excelsior,,Daniel Van Vianen,M,23,Netherlands,,,,,,,,2025-26
Eredivisie,Excelsior,23,Irakli Yegoian,M,22,Georgia,,,,,,,,2025-26
Eredivisie,Excelsior,24,Guilliano Cairo,M,20,Netherlands,,,,,,,,2025-26
Eredivisie,Excelsior,34,Noa El Hamdaoui,M,18,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,21,Hidde Jurjus,G,32,Netherlands,7,,0,0,0,21,10,2025-26
Eredivisie,FC Groningen,1,Etienne Vaessen,G,30,Suriname,30,,1,3,0,72,37,2025-26
Eredivisie,FC Groningen,24,Dirk Baron,G,23,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,FC Groningen,13,Lovro Štubljar,G,21,Slovenia,0,,0,0,0,0,0,2025-26
Eredivisie,FC Groningen,41,Stijn Petiet,G,22,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,FC Groningen,43,Marvin Peersman,D,35,Belgium,34,3,1,6,0,,,2025-26
Eredivisie,FC Groningen,5,Marco Rente,D,29,Germany,30,3,4,2,1,,,2025-26
Eredivisie,FC Groningen,3,Thijmen Blokzijl,D,21,Netherlands,35,1,1,4,0,,,2025-26
Eredivisie,FC Groningen,4,Dies Janse,D,20,Netherlands,32,2,2,7,0,,,2025-26
Eredivisie,FC Groningen,2,Wouter Prins,D,22,Netherlands,22,0,2,0,0,,,2025-26
Eredivisie,FC Groningen,16,Tyrique Mercera,D,22,Curaçao,22,0,1,3,0,,,2025-26
Eredivisie,FC Groningen,22,Sven Bouland,D,20,Netherlands,0,0,0,0,0,,,2025-26
Eredivisie,FC Groningen,,Rijk Janse,G,24,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,,Nikolas Brandis,D,21,Slovakia,,,,,,,,2025-26
Eredivisie,FC Groningen,15,Elvis Laan,D,18,Sweden,,,,,,,,2025-26
Eredivisie,FC Groningen,,Pelle Clement,M,30,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,6,Stije Resink,M,23,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,8,Tika De Jonge,M,23,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,,Travis Hearnes,M,20,Norway,,,,,,,,2025-26
Eredivisie,FC Groningen,14,Jorg Schreuders,M,21,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,,Tygo Land,M,20,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,17,David Van Der Werff,M,21,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,44,Jismerai Dillema,M,19,Netherlands,,,,,,,,2025-26
Eredivisie,FC Groningen,55,Yénio Holder,M,19,Netherlands,,,,,,,,2025-26
Eredivisie,FC Twente,22,Przemyslaw Tyton,G,39,Poland,3,,0,0,0,5,5,2025-26
Eredivisie,FC Twente,1,Lars Unnerstall,G,36,Germany,31,,0,0,0,76,35,2025-26
Eredivisie,FC Twente,16,Issam El Maach,G,26,Morocco,,,,,,,,2025-26
Eredivisie,FC Twente,21,Sam Karssies,G,23,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,FC Twente,31,Yannick Gerritsen,G,20,Netherlands,0,,0,0,0,0,0,2025-26
Eredivisie,FC Twente,3,Robin Pröpper,D,32,Netherlands,28,0,0,6,0,,,2025-26
Eredivisie,FC Twente,28,Bart van Rooij,D,25,Netherlands,33,3,4,5,1,,,2025-26
Eredivisie,FC Twente,2,Mees Hilgers,D,25,Indonesia,,,,,,,,2025-26
Eredivisie,FC Twente,38,Max Bruns,D,23,Netherlands,13,1,0,0,0,,,2025-26
Eredivisie,FC Twente,23,Stav Lemkin,D,23,Israel,25,0,1,3,0,,,2025-26
Eredivisie,FC Twente,39,Mats Rots,D,20,Netherlands,34,4,4,4,0,,,2025-26
Eredivisie,FC Twente,43,Ruud Nijstad,D,18,Netherlands,21,1,1,0,0,,,2025-26
Eredivisie,FC Twente,12,Guilherme Peixoto,D,20,Portugal,1,0,0,1,0,,,2025-26
Eredivisie,FC Twente,22,Remko Pasveer,G,42,Netherlands,,,,,,,,2025-26
Eredivisie,FC Twente,29,Aske Adelgaard,D,22,Denmark,,,,,,,,2025-26
Eredivisie,FC Twente,24,Krzysztof Kurowski,D,19,Poland,,,,,,,,2025-26
Eredivisie,FC Twente,32,Arno Verschueren,M,29,Belgium,,,,,,,,2025-26
Eredivisie,FC Twente,20,Thomas van den Belt,M,25,Netherlands,,,,,,,,2025-26
Eredivisie,FC Twente,,Ramiz Zerrouki,M,28,Algeria,,,,,,,,2025-26
Eredivisie,FC Twente,4,Mathias Kjølø,M,25,Norway,,,,,,,,2025-26
Eredivisie,FC Twente,14,Kristian Hlynsson,M,22,Iceland,,,,,,,,2025-26
Eredivisie,FC Twente,42,Daouda Weidmann,M,23,France,,,,,,,,2025-26
Eredivisie,FC Utrecht,25,Michael Brouwer,G,33,Netherlands,2,,0,0,0,3,3,2025-26
Eredivisie,FC Utrecht,1,Vasilios Barkas,G,32,Greece,35,,0,1,0,120,42,2025-26
