League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
K League 1,Ulsan HD,21,Jo Hyeon-Woo,G,34,South Korea,,,,,,,,2026
K League 1,Ulsan HD,23,In Moon-Jung,G,28,,,,,,,,,2026
K League 1,Ulsan HD,13,Ryu Seong-Min,G,22,,,,,,,,,2026
K League 1,Ulsan HD,1,Choi Ju-Ho,G,18,,,,,,,,,2026
K League 1,Ulsan HD,19,Kim Young-Gwon,D,36,South Korea,,,,,,,,2026
K League 1,Ulsan HD,77,Sim Sang-Min,D,33,,,,,,,,,2026
K League 1,Ulsan HD,2,Yoon Jong-Gyu,D,28,South Korea,,,,,,,,2026
K League 1,Ulsan HD,15,Jung Seung-Hyun,D,32,South Korea,,,,,,,,2026
K League 1,Ulsan HD,28,Jae-Ik Lee,D,27,,,,,,,,,2026
K League 1,Ulsan HD,26,Cho Hyun-taek,D,24,South Korea,,,,,,,,2026
K League 1,Ulsan HD,17,Sang-Woo Kang,D,32,,,,,,,,,2026
K League 1,Ulsan HD,96,Choi Seok-Hyun,D,23,South Korea,,,,,,,,2026
K League 1,Ulsan HD,4,Seo Myung-Guan,D,23,,,,,,,,,2026
K League 1,Gangwon FC,91,Kim Jung-Hun,G,21,South Korea,,,,,,,,2026
K League 1,Gangwon FC,71,Cho Min-Kyu,G,23,,,,,,,,,2026
K League 1,Gangwon FC,1,Park Cheong-Hyo,G,36,,,,,,,,,2026
K League 1,Gangwon FC,41,Kim Yu-Sung,G,20,,,,,,,,,2026
K League 1,Gangwon FC,31,Hong Jin-Hyeok,G,22,,,,,,,,,2026
K League 1,Gangwon FC,33,Hong Chul,D,35,South Korea,,,,,,,,2026
K League 1,Gangwon FC,24,Park Ho-Young,D,27,,,,,,,,,2026
K League 1,Gangwon FC,23,Marko Tuci,D,27,Montenegro,,,,,,,,2026
K League 1,Gangwon FC,13,Lee Gi-Hyuk,D,26,South Korea,,,,,,,,2026
K League 1,Gangwon FC,47,Shin Min-Ha,D,20,,,,,,,,,2026
K League 1,Gangwon FC,34,Song Jun-Seok,D,25,,,,,,,,,2026
K League 1,Gangwon FC,20,Jo Hyun-Tae,D,21,,,,,,,,,2026
K League 1,Gangwon FC,99,Kang Joon-Hyuck,D,26,,,,,,,,,2026
K League 1,Gwangju FC,1,Kim Kyeong-min,G,34,,,,,,,,,2026
K League 1,Gwangju FC,32,Dong-Hwa Kim,G,23,,,,,,,,,2026
