League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
La Liga,Alaves,1,Antonio Sivera,G,29,Spain,38,,0,3,0,97,56,2025-26
La Liga,Alaves,13,Raúl Fernández,G,38,Spain,0,,0,0,0,0,0,2025-26
La Liga,Alaves,31,Grégoire Swiderski,G,20,Canada,0,,0,0,0,0,0,2025-26
La Liga,Alaves,33,Rúben Montero,G,20,Spain,0,,0,0,0,0,0,2025-26
La Liga,Alaves,2,Facundo Garcés,D,26,Malaysia,10,0,0,3,0,,,2025-26
La Liga,Alaves,3,Youssef Lekhedim,D,20,Morocco,25,0,1,7,0,,,2025-26
La Liga,Alaves,5,Jon Pacheco,D,25,Spain,22,0,0,4,1,,,2025-26
La Liga,Alaves,7,Ángel Pérez,D,23,Spain,16,1,3,4,0,,,2025-26
La Liga,Alaves,14,Nahuel Tenaglia,D,30,Argentina,36,2,0,3,0,,,2025-26
La Liga,Alaves,16,Ville Koski,D,24,Finland,5,0,0,0,0,,,2025-26
La Liga,Alaves,17,Jonny,D,32,Spain,34,0,0,7,0,,,2025-26
La Liga,Alaves,24,Victor Parada,D,24,Spain,30,0,3,7,1,,,2025-26
La Liga,Alaves,26,Álvaro García,D,20,Spain,0,0,0,0,0,,,2025-26
La Liga,Alaves,27,Egoitz Muñoz,D,22,Spain,0,0,0,0,0,,,2025-26
La Liga,Alaves,30,Carlos Ballestero,D,22,Spain,1,0,0,0,0,,,2025-26
La Liga,Alaves,35,Xanet Oláiz,D,20,Spain,0,0,0,0,0,,,2025-26
La Liga,Alaves,36,Paco Sanz,D,21,Spain,0,0,0,0,0,,,2025-26
La Liga,Alaves,4,Denis Suárez,M,32,Spain,30,1,2,6,0,,,2025-26
La Liga,Alaves,6,Ander Guevara,M,28,Spain,25,1,1,2,1,,,2025-26
La Liga,Alaves,8,Antonio Blanco,M,25,Spain,36,2,3,9,0,,,2025-26
La Liga,Alaves,10,Carles Aleñá,M,28,Spain,34,0,4,5,0,,,2025-26
La Liga,Alaves,18,Jon Guridi,M,31,Spain,28,0,0,1,0,,,2025-26
La Liga,Alaves,19,Pablo Ibáñez,M,27,Spain,37,1,1,7,0,,,2025-26
