League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
Ligue 1,AJ Auxerre,29,Marvin Senaya,D,25,Ghana,25,1,0,5,0,,,2025-26
Ligue 1,AJ Auxerre,42,Elisha Owusu,M,28,Ghana,,,,,,,,
Ligue 1,AJ Auxerre,27,Lamine Sy,D,23,France,24,0,0,1,0,,,2025-26
Ligue 1,AJ Auxerre,23,Mamadou Diop,G,26,Mauritania,,,,,,,,
Ligue 1,AJ Auxerre,,Romain Faivre,M,28,France,,,,,,,,
Ligue 1,AJ Auxerre,,Ackah-Tidiane Thiongane-Zoukrou,D,,,,,,,,,,
Ligue 1,AJ Auxerre,,Sekou Fofana,D,23,France,,,,,,,,
Ligue 1,AJ Auxerre,20,Sinaly Diomande,D,25,Ivory Coast,24,2,2,2,1,,,2025-26
Ligue 1,AJ Auxerre,40,Théo De Percin,G,25,France,8,,0,0,0,10,9,2025-26
Ligue 1,AJ Auxerre,4,Francisco Sierralta,D,29,Chile,10,1,0,2,0,,,2025-26
Ligue 1,AJ Auxerre,24,Bryan Okoh,D,23,Switzerland,13,3,0,2,0,,,2025-26
Ligue 1,AJ Auxerre,,Wei Xiangxin,D,18,,,,,,,,,
Ligue 1,AJ Auxerre,35,Elikya Legros,D,18,France,,,,,,,,
Ligue 1,AJ Auxerre,16,Donovan Léon,G,33,French Guiana,29,,0,1,2,96,35,2025-26
Ligue 1,AJ Auxerre,30,Tom Negrel,G,23,France,0,,0,0,0,0,0,2025-26
Ligue 1,AJ Auxerre,8,Naouirou Ahamada,M,24,France,,,,,,,,
Ligue 1,AJ Auxerre,,Christ Makosso,D,22,Congo,,,,,,,,
Ligue 1,AJ Auxerre,13,Telli Siwe,D,21,France,,,,0,0,,,2025-26
Ligue 1,AJ Auxerre,1,Paul Nardi,G,32,France,,,,,,,,
Ligue 1,AJ Auxerre,22,Fredrik Oppegard,D,23,Norway,23,0,0,1,1,,,2025-26
Ligue 1,AJ Auxerre,37,Louis Mezerette,G,19,France,0,,0,0,0,0,0,2025-26
Ligue 1,AJ Auxerre,92,Clément Akpa,D,24,France,26,0,0,2,1,,,2025-26
Ligue 1,AJ Auxerre,18,Assane Dioussé,M,28,Senegal,,,,,,,,
Ligue 1,AJ Auxerre,14,Gideon Mensah,D,28,Ghana,30,0,2,8,0,,,2025-26
Ligue 1,AS Monaco,60,Yanis Benchaouch,G,20,Morocco,,,,,,,,2025-26
Ligue 1,AS Monaco,22,Mohammed Salisu,D,27,Ghana,12,1,0,3,0,,,2025-26
Ligue 1,AS Monaco,25,Wout Faes,D,28,Belgium,14,0,0,3,0,,,2025-26
Ligue 1,AS Monaco,16,Philipp Köhn,G,28,Switzerland,19,,0,1,0,42,27,2025-26
Ligue 1,AS Monaco,12,Caio Henrique,D,28,Brazil,22,0,2,2,0,,,2025-26
Ligue 1,AS Monaco,1,Lukas Hradecky,G,36,Finland,17,,0,1,0,45,27,2025-26
Ligue 1,AS Monaco,,Radoslaw Majecki,G,26,Poland,,,,,,,,
Ligue 1,AS Monaco,4,Jordan Teze,D,26,Netherlands,33,1,2,8,0,,,2025-26
Ligue 1,AS Monaco,2,Vanderson,D,25,Brazil,14,0,2,4,0,,,2025-26
Ligue 1,AS Monaco,3,Eric Dier,D,32,England,9,1,0,0,0,,,2025-26
Ligue 1,AS Monaco,5,Thilo Kehrer,D,29,Germany,28,0,0,6,2,,,2025-26
Ligue 1,AS Monaco,20,Kassoum Ouattara,D,21,France,15,0,3,3,0,,,2025-26
Ligue 1,AS Monaco,50,Yann Lienard,G,23,France,0,,0,0,0,0,0,2025-26
Ligue 1,AS Monaco,40,Jules Stawiecki,G,19,France,0,,0,0,0,0,0,2025-26
Ligue 1,Angers,40,Oumar Pona,G,20,Mali,2,,0,1,0,6,7,2025-26
Ligue 1,Angers,27,Lilian Raolisoa,D,26,France,32,2,4,3,0,,,2025-26
Ligue 1,Angers,24,Emmanuel Biumla,M,21,France,,,,,,,,
Ligue 1,Angers,4,Ousmane Camara,D,23,Mali,,,,,,,,2025-26
Ligue 1,Angers,,Anthony Bermont,M,21,France,,,,,,,,
Ligue 1,Angers,26,Florent Hanin,D,36,France,25,0,0,0,0,,,2025-26
Ligue 1,Angers,25,Abdoulaye Bamba,D,36,Ivory Coast,6,0,0,1,0,,,2025-26
Ligue 1,Angers,7,Amine Sbaï,F,25,Morocco,,,,,,,,
Ligue 1,Angers,20,Marius Louãr,D,19,France,9,0,0,1,0,,,2025-26
Ligue 1,Angers,93,Haris Belkebla,M,32,Algeria,,,,,,,,
Ligue 1,Angers,,Mamadou Simbakoli,F,24,Central African Republic,,,,,,,,
Ligue 1,Angers,12,Hervé Koffi,G,29,Burkina Faso,30,,0,1,0,123,36,2025-26
Ligue 1,Angers,,Anthony Lopes,G,35,Portugal,,,,,,,,
Ligue 1,Angers,3,Jacques Ekomie,D,22,Gabon,32,0,0,3,0,,,2025-26
Ligue 1,Angers,2,Carlens Arcus,D,30,Haiti,26,0,3,7,0,,,2025-26
Ligue 1,Angers,14,Yassin Belkhdim,M,24,Morocco,,,,,,,,
Ligue 1,Angers,16,Melvin Zinga,G,24,Congo,3,,0,0,0,7,5,2025-26
Ligue 1,Angers,6,Louis Mouton,M,24,France,,,,,,,,
Ligue 1,Angers,5,Marius Courcoul,D,19,France,18,0,0,0,0,,,2025-26
Ligue 1,Angers,50,Yann Llahona,G,19,France,0,,0,0,0,0,0,2025-26
Ligue 1,Angers,,Yacine Gaya,D,21,Algeria,,,,,,,,
Ligue 1,Angers,21,Jordan Lefort,D,32,Mauritania,34,0,2,2,0,,,2025-26
Ligue 1,Angers,23,Dan Sinaté,M,20,Mali,,,,,,,,
Ligue 1,Angers,,Jim Allevinah,F,31,Gabon,,,,,,,,
Ligue 1,Brest,19,Ludovic Ajorque,F,32,France,,,,,,,,
Ligue 1,Brest,,Axel Camblan,M,22,France,,,,,,,,
Ligue 1,Brest,27,Daouda Guindo,D,23,Mali,25,1,1,4,1,,,2025-26
Ligue 1,Brest,13,Joris Chotard,M,24,France,,,,,,,,
Ligue 1,Brest,10,Romain Del Castillo,M,30,France,,,,,,,,2025-26
Ligue 1,Brest,44,Soumaila Coulibaly,D,22,France,16,0,0,3,0,,,2025-26
Ligue 1,Brest,30,Grégoire Coudert,G,27,France,25,,0,2,0,73,40,2025-26
Ligue 1,Brest,1,Radoslaw Majecki,G,26,Poland,10,,0,0,1,26,15,2025-26
Ligue 1,Brest,17,Mama Baldé,F,30,Guinea-Bissau,,,,,,,,
Ligue 1,Brest,21,Ibrahim Kanté,F,19,France,,,,,,,,
Ligue 1,Brest,50,Noah Jauny,G,21,,0,,0,0,0,0,0,2025-26
Ligue 1,Brest,8,Hugo Magnetti,M,28,France,,,,,,,,
Ligue 1,Brest,2,Bradley Locko,D,24,France,22,0,2,0,0,,,2025-26
Ligue 1,Brest,,Justin Bourgault,D,20,France,,,,,,,,
Ligue 1,Brest,12,Luc Zogbe,D,21,,9,0,0,0,0,,,2025-26
Ligue 1,Brest,77,Kenny Lala,D,34,France,32,0,3,4,0,,,2025-26
Ligue 1,Brest,23,Kamory Doumbia,M,23,Mali,,,,,,,,
Ligue 1,Brest,5,Brendan Chardonnet,D,31,France,29,1,3,6,0,,,2025-26
