League,Team,Player,MarketValueEUR
Premier League,AFC Bournemouth,Djordje Petrovic,28000000
Premier League,AFC Bournemouth,Fraser Forster,600000
Premier League,AFC Bournemouth,Adrien Truffert,20000000
Premier League,AFC Bournemouth,Marcos Senesi,22000000
Premier League,AFC Bournemouth,Julio Soler,8000000
Premier League,AFC Bournemouth,Adam Smith,500000
Premier League,AFC Bournemouth,Bafodé Diakité,35000000
Premier League,AFC Bournemouth,James Hill,7000000
Premier League,AFC Bournemouth,Matai Akinmboni,1000000
Premier League,AFC Bournemouth,Lewis Cook,13000000
Premier League,AFC Bournemouth,David Brooks,12000000
Premier League,AFC Bournemouth,Alex Scott,30000000
Premier League,AFC Bournemouth,Ryan Christie,9000000
Premier League,AFC Bournemouth,Tyler Adams,25000000
Premier League,AFC Bournemouth,Marcus Tavernier,20000000
Premier League,AFC Bournemouth,Evanilson,40000000
Premier League,AFC Bournemouth,Ben Gannon-Doak,10000000
Premier League,AFC Bournemouth,Justin Kluivert,32000000
Premier League,AFC Bournemouth,Amine Adli,20000000
Premier League,AFC Bournemouth,Junior Kroupi,15000000
Premier League,AFC Bournemouth,Enes Ünal,8000000
Premier League,AFC Bournemouth,Remy Rees-Dottin,300000
Premier League,Arsenal,David Raya,35000000
Premier League,Arsenal,Kepa Arrizabalaga,7000000
Premier League,Arsenal,Alexei Rojas,250000
Premier League,Arsenal,Jack Porter,300000
Premier League,Arsenal,William Saliba,90000000
Premier League,Arsenal,Cristhian Mosquera,35000000
Premier League,Arsenal,Ben White,30000000
Premier League,Arsenal,Piero Hincapié,50000000
Premier League,Arsenal,Jurriën Timber,70000000
Premier League,Arsenal,Riccardo Calafiori,50000000
Premier League,Arsenal,Myles Lewis-Skelly,40000000
Premier League,Arsenal,Martin Ødegaard,75000000
Premier League,Arsenal,Eberechi Eze,65000000
Premier League,Arsenal,Christian Nørgaard,18000000
Premier League,Arsenal,Mikel Merino,30000000
Premier League,Arsenal,Martín Zubimendi,50000000
Premier League,Arsenal,Declan Rice,120000000
Premier League,Arsenal,Bukayo Saka,130000000
Premier League,Arsenal,Gabriel Jesus,20000000
Premier League,Arsenal,Gabriel Martinelli,45000000
Premier League,Arsenal,Viktor Gyökeres,70000000
Premier League,Arsenal,Leandro Trossard,20000000
Premier League,Arsenal,Noni Madueke,50000000
