League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
MLS,Austin FC,1,Brad Stuver,G,35,USA,36,,0,3,0,134,51,2025
MLS,Austin FC,12,Damian Las,G,24,USA,,,,,,,,2025
MLS,Austin FC,5,Oleksandr Svatok,D,31,Ukraine,31,1,0,6,0,,,2025
MLS,Austin FC,3,Mikkel Desler,D,31,Denmark,22,1,3,5,0,,,2025
MLS,Austin FC,17,Jon Gallagher,D,30,Republic of Ireland,36,2,0,3,0,,,2025
MLS,Austin FC,4,Brendan Hines-Ike,D,31,USA,33,0,1,3,1,,,2025
MLS,Austin FC,15,Jon Bell,D,28,Jamaica,,,,,,,,2025
MLS,Austin FC,23,Zan Kolmanic,D,26,Slovenia,27,1,1,4,0,,,2025
MLS,Austin FC,29,Guilherme Biro,D,26,Brazil,34,3,1,7,0,,,2025
MLS,Austin FC,2,Riley Thomas,D,24,USA,0,0,0,0,0,,,2025
MLS,Austin FC,35,Mateja Djordjevic,D,23,Serbia,4,0,0,2,0,,,2025
MLS,Austin FC,6,Ilie Sánchez,M,35,Spain,,,,,,,,2025
MLS,Austin FC,14,Besard Sabovic,M,28,Sweden,,,,,,,,2025
MLS,Austin FC,30,Joseph Rosales,M,25,Honduras,,,,,,,,2025
MLS,Austin FC,77,Przemyslaw Placheta,M,28,Poland,,,,,,,,2025
MLS,Austin FC,33,Owen Wolff,M,21,USA,,,,,,,,2025
MLS,Austin FC,19,CJ Fodrey,M,22,USA,,,,,,,,2025
MLS,Austin FC,32,Micah Burton,M,20,USA,,,,,,,,2025
MLS,Austin FC,24,Jorge Alastuey,M,23,Spain,,,,,,,,2025
MLS,Austin FC,20,Nicolás Dubersarsky,M,21,Argentina,,,,,,,,2025
MLS,Austin FC,,Ervin Torres,,18,,,,,,,,,2025
MLS,Austin FC,30,Stefan Cleveland,G,32,USA,0,,0,0,0,0,0,2025
MLS,Austin FC,34,Antonio Gomez,D,24,USA,0,0,0,0,0,,,2025
MLS,Austin FC,18,Julio Cascante,D,32,Costa Rica,15,0,0,1,0,,,2025
MLS,Austin FC,,Adrian Gonzalez,,23,,,,,,,,,2025
MLS,Charlotte FC,21,Tyler Miller,G,33,USA,,,,,,,,2025
MLS,Charlotte FC,1,Kristijan Kahlina,G,34,Croatia,35,,0,1,0,138,48,2025
MLS,Charlotte FC,42,Isaac Walker,G,26,USA,,,,,,,,2025
MLS,Charlotte FC,3,Tim Ream,D,38,USA,30,0,0,2,0,,,2025
MLS,Charlotte FC,14,Nathan Byrne,D,34,England,20,0,0,4,0,,,2025
MLS,Charlotte FC,15,Harry Toffolo,D,30,England,6,0,2,0,0,,,2025
