League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
Primeira Liga,AVS,88,Pedro Trigueira,G,38,Portugal,1,,0,0,0,0,0,2025-26
Primeira Liga,AVS,93,Simão Bertelli,G,33,Brazil,12,,0,2,0,32,26,2025-26
Primeira Liga,AVS,1,Adriel,G,25,Brazil,16,,1,2,0,62,24,2025-26
Primeira Liga,AVS,42,Cristian Devenish,D,25,Colombia,26,0,0,6,1,,,2025-26
Primeira Liga,AVS,33,Aderlan Santos,D,37,Brazil,17,1,0,2,0,,,2025-26
Primeira Liga,AVS,24,Kiki,D,31,Portugal,27,0,0,2,0,,,2025-26
Primeira Liga,AVS,35,Rúben Semedo,D,32,Portugal,9,0,0,3,1,,,2025-26
Primeira Liga,AVS,26,Carlos Ponck,D,35,Cape Verde Islands,16,0,0,3,0,,,2025-26
Primeira Liga,AVS,12,Daniel Rivas,D,24,Paraguay,26,0,1,6,0,,,2025-26
Primeira Liga,AVS,97,Mateus Pivó,D,28,Brazil,14,0,0,3,0,,,2025-26
Primeira Liga,AVS,5,Guillem Molina,D,26,Spain,7,0,0,0,0,,,2025-26
Primeira Liga,AVS,3,Paulo Vitor,D,25,Brazil,18,0,0,2,2,,,2025-26
Primeira Liga,AVS,64,Afonso Fernandes Silva,D,18,Portugal,,,,0,0,,,2025-26
Primeira Liga,Alverca,23,André Paulo,G,29,Portugal,0,,0,0,0,0,0,2025-26
Primeira Liga,Alverca,,Jhonatan,G,35,Brazil,,,,,,,,2025-26
Primeira Liga,Alverca,31,Matheus Mendes,G,27,Brazil,9,,0,1,0,28,11,2025-26
Primeira Liga,Alverca,1,Mateus Oliveira,G,24,Brazil,0,,0,0,0,0,0,2025-26
Primeira Liga,Alverca,,Noah Raveyre,G,21,France,,,,,,,,2025-26
Primeira Liga,Alverca,5,Sergi Gómez,D,34,Spain,29,0,0,1,0,,,2025-26
Primeira Liga,Alverca,3,Julián Martinez,D,22,Honduras,11,0,0,1,0,,,2025-26
Primeira Liga,Alverca,14,Steven Baseya,D,21,France,12,0,0,1,0,,,2025-26
Primeira Liga,Alverca,33,Bastien Meupiyou,D,20,France,30,0,0,4,1,,,2025-26
Primeira Liga,Alverca,,Yahya Bojang,D,21,Gambia,,,,,,,,2025-26
Primeira Liga,Alverca,12,Isaac James,D,21,Nigeria,19,0,2,3,0,,,2025-26
Primeira Liga,Alverca,82,Diogo Spencer,D,22,Portugal,20,1,2,2,0,,,2025-26
Primeira Liga,Alverca,15,Ikker Julian,D,21,Belgium,,,,,0,,,2025-26
Primeira Liga,Alverca,21,Sabit Abdulai,M,27,Ghana,,,,,,,,2025-26
Primeira Liga,Alverca,,Lucca Giuntini,M,22,Italy,,,,,,,,2025-26
Primeira Liga,Alverca,6,Davy Gui,M,20,,,,,,,,,2025-26
Primeira Liga,Alverca,17,Vasco Moreira,M,25,Portugal,,,,,,,,2025-26
Primeira Liga,Alverca,,Zakaria Kessary,M,20,Morocco,,,,,,,,2025-26
Primeira Liga,Alverca,,Tiago André Facho Octávio,M,,,,,,,,,,2025-26
Primeira Liga,Alverca,,Junior Mendes,F,24,Spain,,,,,,,,2025-26
Primeira Liga,Alverca,,Stephan Diarra,,27,,,,,,,,,2025-26
Primeira Liga,Alverca,13,André Gomes,G,21,Portugal,25,,0,4,0,71,41,2025-26
Primeira Liga,Alverca,4,Kaiky Naves,D,24,Brazil,32,2,0,7,1,,,2025-26
Primeira Liga,Alverca,55,Francisco Chissumba,D,21,Portugal,19,0,0,3,0,,,2025-26
Primeira Liga,Arouca,12,Ignacio De Arruabarrena,G,29,Uruguay,16,,0,5,0,39,21,2025-26
Primeira Liga,Arouca,,Nico Mantl,G,26,Germany,,,,,,,,2025-26
Primeira Liga,Arouca,30,Jakub Vinarcik,G,21,Slovakia,1,,0,0,0,1,1,2025-26
Primeira Liga,Arouca,,Martim Silva Duarte,G,,,,,,,,,,2025-26
Primeira Liga,Arouca,15,Javi Sánchez,D,29,Spain,15,0,1,6,0,,,2025-26
Primeira Liga,Arouca,28,Tiago Esgaio,D,30,Portugal,29,3,5,10,0,,,2025-26
Primeira Liga,Arouca,3,José Fontán,D,26,Spain,30,2,3,5,3,,,2025-26
Primeira Liga,Arouca,5,Boris Popovic,D,26,Serbia,17,1,0,3,0,,,2025-26
Primeira Liga,Arouca,6,Diogo Monteiro,D,21,Portugal,8,0,0,1,0,,,2025-26
Primeira Liga,Arouca,4,Matías Rocha,D,25,Uruguay,11,0,0,4,1,,,2025-26
Primeira Liga,Arouca,46,Mateo Flores,M,22,Spain,,,,,,,,2025-26
Primeira Liga,Arouca,10,Pablo Gozálbez,M,25,Spain,,,,,,,,2025-26
