League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
Saudi Pro League,Al Ahli,1,Abdulrahman Al-Sanbi,G,25,Saudi Arabia,8,,0,3,0,13,7,2025-26
Saudi Pro League,Al Ahli,16,Édouard Mendy,G,34,Senegal,26,,0,2,0,46,18,2025-26
Saudi Pro League,Al Ahli,22,Ali Bakhashwin,G,17,Saudi Arabia,,,,,,,,2025-26
Saudi Pro League,Al Ahli,62,Abdullah Abdo,G,24,Saudi Arabia,0,,0,0,0,0,0,2025-26
Saudi Pro League,Al Ahli,72,Salman Al-Jadani,G,22,Saudi Arabia,0,,0,0,0,0,0,2025-26
Saudi Pro League,Al Ahli,2,Zakaria Al Hawsawi,D,25,Saudi Arabia,22,1,1,5,0,,,2025-26
Saudi Pro League,Al Ahli,3,Roger Ibañez,D,27,Brazil,28,2,2,3,2,,,2025-26
Saudi Pro League,Al Ahli,4,Gustavo Alves,D,19,Brazil,,,,,,,,2025-26
Saudi Pro League,Al Ahli,5,Mohammed Sulaiman,D,22,Saudi Arabia,20,0,0,1,0,,,2025-26
Saudi Pro League,Al Ahli,27,Ali Majrashi,D,26,Saudi Arabia,27,1,3,5,2,,,2025-26
Saudi Pro League,Al Ahli,28,Merih Demiral,D,28,Türkiye,20,2,0,5,0,,,2025-26
Saudi Pro League,Al Ahli,29,Mohammed Yousef,D,23,Saudi Arabia,24,0,1,3,0,,,2025-26
Saudi Pro League,Al Ahli,32,Matteo Dams,D,22,Belgium,9,0,1,0,0,,,2025-26
Saudi Pro League,Al Ahli,46,Rayane Hamidou,D,24,Saudi Arabia,23,3,0,1,0,,,2025-26
Saudi Pro League,Al Ahli,51,Ahmed Al Refai,D,20,Saudi Arabia,,,,,,,,2025-26
Saudi Pro League,Al Ahli,60,Yazan Madani,D,21,Saudi Arabia,3,0,0,0,0,,,2025-26
Saudi Pro League,Al Ahli,66,Mansour Alnakhli,D,20,Saudi Arabia,,,,,,,,2025-26
Saudi Pro League,Al Ahli,93,Yaser Al Fallatah,D,22,Saudi Arabia,,,,,,,,2025-26
Saudi Pro League,Al Ahli,6,Valentin Atangana,M,20,France,23,5,0,7,0,,,2025-26
Saudi Pro League,Al Ahli,10,Enzo Millot,M,23,France,25,3,3,9,0,,,2025-26
Saudi Pro League,Al Ahli,14,Eid Al Muwallad,M,24,Saudi Arabia,17,0,0,4,0,,,2025-26
Saudi Pro League,Al Ahli,23,Ibrahin Montasser Azzam,M,18,Saudi Arabia,0,0,0,0,0,,,2025-26
