League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
Segunda División,Albacete,,Mario Soberón,F,29,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,,Marcos Moreno,F,22,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,1,Diego Mariño,G,36,Spain,20,,0,0,0,57,29,2025-26 Spanish LALIGA 2
Segunda División,Albacete,5,Javier Moreno,D,26,Spain,28,0,0,4,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,24,Jesús Vallejo,D,29,Spain,31,0,0,3,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,22,Lluis López,D,29,Spain,14,2,0,0,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,15,Fran Gamez,D,34,Spain,36,0,7,6,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,21,Carlos Neva,D,30,Spain,32,0,2,3,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,23,Pepe Sanchez,D,26,Spain,22,2,1,6,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,2,Lorenzo Aguado,D,23,Spain,32,0,4,7,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,27,Daniel Bernabeu,D,19,Spain,8,0,1,1,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,4,Agus Medina,M,31,Spain,25,7,1,1,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,,José Corpas,M,35,Spain,40,7,6,14,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,14,Victor San Bartolomé,M,26,Spain,14,0,2,1,0,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,6,Antonio Pacheco Ruiz,M,24,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,26,Capi,M,19,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,18,Javi Villar,M,23,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,,Antonio Moreno,M,20,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,9,Higinio Marín,F,32,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Albacete,7,Antonio Puertas,F,34,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,1,Andrés Fernández,G,27,Chile,46,,0,0,0,165,68,2025-26 Spanish LALIGA 2
Segunda División,Almería,13,Fernando Martínez,G,36,Spain,0,,0,0,0,0,0,2025-26 Spanish LALIGA 2
Segunda División,Almería,31,Bruno Alemán,G,21,Spain,0,,0,0,0,0,0,2025-26 Spanish LALIGA 2
Segunda División,Almería,,Edgar González,D,29,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,4,Nélson Monte,D,31,Portugal,28,0,1,9,0,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,,Jorge Pulido,D,35,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,5,Rodrigo Ely,D,32,Brazil,16,0,0,3,0,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,3,Álex Muñoz,D,31,Spain,40,5,6,14,0,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,21,Chumi,D,27,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,18,Federico Bonini,D,24,Italy,39,1,1,4,1,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,22,Daijiro Chirino,D,24,Netherlands,36,3,1,10,1,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,16,Marcos Luna Marcos Ruiz,D,23,Spain,33,0,2,5,0,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,32,Pedro Fidel,D,19,Spain,3,0,0,0,0,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,,Alejandro Pozo,M,27,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,,André Horta,M,29,Portugal,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,14,Iddrisu Baba,M,30,Ghana,23,0,1,5,0,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,17,Dion Lopy,M,24,Senegal,31,3,3,12,2,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,10,Nicolás Melamed,M,25,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Almería,11,Sergio Arribas,M,24,Spain,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,13,Ander Cantero,G,31,Spain,42,,0,1,0,112,33,2025-26 Spanish LALIGA 2
Segunda División,Burgos,1,Jesus Ruiz,G,29,Spain,0,,0,0,0,0,0,2025-26 Spanish LALIGA 2
Segunda División,Burgos,12,Florian Miguel,D,29,France,40,2,3,12,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,15,Buñuel,D,28,Spain,8,0,0,0,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,8,Gregorio Sierra,D,33,Spain,40,2,1,7,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,6,Sergio González,D,29,Spain,31,0,0,9,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,22,Brais Martínez,D,24,Spain,8,0,0,0,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,26,Hugo Pascual,D,20,Spain,0,0,0,0,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,4,Pablo Galdames,M,29,Chile,14,0,0,2,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,16,Curro,M,30,Spain,38,6,4,6,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,10,Kevin Appin,M,28,Martinique,37,4,0,5,0,,,2025-26 Spanish LALIGA 2
Segunda División,Burgos,31,Fermín García,M,22,Spain,15,0,1,2,0,,,2025-26 Spanish LALIGA 2
Segunda División,CD Sabadell,,Marc García Sábado,D,,,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,CD Sabadell,,Fran Rivera Clavero,F,,,,,,,,,,2025-26 Spanish LALIGA 2
Segunda División,CD Sabadell,,Iván Tébar Zorrilla,F,,,,,,,,,,2025-26 Spanish LALIGA 2
