League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
Serie A,AC Milan,1,Pietro Terracciano,G,36,Italy,2,,0,0,0,4,0,2025-26
Serie A,AC Milan,16,Mike Maignan,G,31,France,37,,0,4,0,108,35,2025-26
Serie A,AC Milan,96,Lorenzo Torriani,G,21,Italy,0,,0,0,0,0,0,2025-26
Serie A,AC Milan,,Léo-Paul Bouyer,G,17,France,,,,,,,,2025-26
Serie A,AC Milan,37,Matteo Pittarella,G,18,Italy,0,,0,0,0,0,0,2025-26
Serie A,AC Milan,2,Pervis Estupiñán,D,28,Ecuador,19,1,1,5,1,,,2025-26
Serie A,AC Milan,23,Fikayo Tomori,D,28,England,33,0,2,6,1,,,2025-26
Serie A,AC Milan,46,Matteo Gabbia,D,26,Italy,30,0,0,4,0,,,2025-26
Serie A,AC Milan,31,Strahinja Pavlovic,D,25,Serbia,34,5,1,4,0,,,2025-26
Serie A,AC Milan,,Filippo Terracciano,D,23,Italy,,,,,,,,2025-26
Serie A,AC Milan,5,Koni De Winter,D,24,Belgium,26,1,1,1,0,,,2025-26
Serie A,AC Milan,,Mario Gila,D,25,Spain,,,,,,,,2025-26
Serie A,AC Milan,33,Davide Bartesaghi,D,20,Italy,31,2,0,3,0,,,2025-26
Serie A,AC Milan,27,David Odogu,D,20,Germany,2,0,0,0,0,,,2025-26
Serie A,AC Milan,24,Zachary Athekame,D,21,Switzerland,27,2,2,3,0,,,2025-26
Serie A,AC Milan,,Valeri Vladimirov,D,18,Bulgaria,,,,,,,,2025-26
Serie A,AC Milan,14,Luka Modric,M,40,Croatia,,,,,,,,2025-26
Serie A,AC Milan,12,Adrien Rabiot,M,31,France,,,,,,,,2025-26
Serie A,AC Milan,8,Ruben Loftus-Cheek,M,30,England,,,,,,,,2025-26
Serie A,AC Milan,,Ismaël Bennacer,,28,,,,,,,,,2025-26
Serie A,AS Roma,95,Pierluigi Gollini,G,31,Italy,0,,0,0,0,0,0,2025-26
Serie A,AS Roma,,Devis Vásquez,G,28,Colombia,,,,,,,,2025-26
Serie A,AS Roma,99,Mile Svilar,G,26,Serbia,38,,0,0,0,107,31,2025-26
Serie A,AS Roma,70,Giorgio De Marzi,G,19,USA,0,,0,0,0,0,0,2025-26
Serie A,AS Roma,73,Alessio Marcaccini,G,17,Italy,,,,,,,,2025-26
Serie A,AS Roma,91,Radoslaw Zelezny,G,19,Poland,0,,0,0,0,0,0,2025-26
Serie A,AS Roma,23,Gianluca Mancini,D,30,Italy,36,4,2,9,0,,,2025-26
Serie A,AS Roma,3,Angeliño,D,29,Spain,7,0,0,2,0,,,2025-26
Serie A,AS Roma,22,Mario Hermoso,D,31,Spain,28,3,2,9,0,,,2025-26
Serie A,AS Roma,5,Evan Ndicka,D,26,Ivory Coast,31,3,0,5,0,,,2025-26
Serie A,AS Roma,,Marash Kumbulla,D,26,Albania,,,,,,,,2025-26
Serie A,AS Roma,,Anass Salah-Eddine,D,24,Morocco,,,,,,,,2025-26
Serie A,AS Roma,2,Devyne Rensch,D,23,Netherlands,24,1,4,1,0,,,2025-26
Serie A,AS Roma,43,Wesley,D,22,Brazil,30,5,0,5,2,,,2025-26
Serie A,AS Roma,,Daniele Ghilardi,D,23,Italy,,,,,,,,2025-26
Serie A,AS Roma,24,Jan Ziólkowski,D,21,Poland,,,,,,,,2025-26
Serie A,AS Roma,,Mattia Mannini,D,20,Italy,,,,,,,,2025-26
Serie A,AS Roma,,Filippo Reale,D,20,Italy,,,,,,,,2025-26
Serie A,AS Roma,77,Emanuele Lulli,D,18,Italy,,,,,,,,2025-26
Serie A,AS Roma,,Mohamed Seck,,20,,,,,,,,,2025-26
Serie A,AS Roma,12,Kostas Tsimikas,D,30,Greece,18,0,0,1,0,,,2025-26
Serie A,AS Roma,19,Zeki Çelik,D,29,Türkiye,34,1,2,2,1,,,2025-26
