League,Team,Number,Player,Position,Age,Nationality,Season_Apps,Season_Goals,Season_Assists,Season_YellowCards,Season_RedCards,Season_Saves,Season_GoalsConceded,Season_Label
2. Bundesliga,Hertha Berlin,35,Marius Gersbeck,G,31,Germany,1,,0,0,0,0,0,2025-26
2. Bundesliga,Hertha Berlin,13,Konstantin Heide,G,20,Germany,0,,0,0,0,0,0,2025-26
2. Bundesliga,Hertha Berlin,43,Tim Goller,G,21,Germany,0,,0,0,0,0,0,2025-26
2. Bundesliga,Hertha Berlin,27,Niklas Kolbe,D,29,Germany,20,0,0,0,0,,,2025-26
2. Bundesliga,Hertha Berlin,42,Deyovaiso Zeefuik,D,28,Suriname,23,0,0,9,0,,,2025-26
2. Bundesliga,Hertha Berlin,31,Márton Dárdai,D,24,Hungary,29,0,0,2,0,,,2025-26
2. Bundesliga,Hertha Berlin,44,Linus Gechter,D,22,Germany,30,1,0,4,1,,,2025-26
2. Bundesliga,Hertha Berlin,2,Julian Eitscberger,D,22,Germany,25,2,1,4,0,,,2025-26
2. Bundesliga,Hertha Berlin,41,Pascal Klemens,D,21,Germany,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,34,Janne Berner,D,21,Germany,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,30,Paul Seguin,M,31,Germany,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,8,Kevin Sessa,M,26,Germany,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,5,Leon Jensen,M,29,Germany,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,,Gustav Christensen,M,21,Denmark,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,,Selim Telib,M,20,Egypt,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,21,Boris Lum,M,18,Germany,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,,Soufian Gouram,M,20,Estonia,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,7,Josip Brekalo,F,28,Croatia,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,17,Sebastian Gronning,F,29,Denmark,,,,,,,,2025-26
2. Bundesliga,Hertha Berlin,1,Tjark Ernst,G,23,Germany,33,,0,3,0,99,44,2025-26
2. Bundesliga,Hertha Berlin,25,John Brooks,D,33,USA,1,0,0,0,0,,,2025-26
2. Bundesliga,Hertha Berlin,37,Toni Leistner,D,35,Germany,25,1,0,4,1,,,2025-26
2. Bundesliga,Hertha Berlin,33,Michal Karbownik,D,25,Poland,26,0,2,0,0,,,2025-26
2. Bundesliga,Arminia Bielefeld,,Vincent Ocansey,F,25,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,,Julian Kania,F,24,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,18,Leo Oppermann,G,24,Germany,2,,0,0,0,5,2,2025-26
2. Bundesliga,Arminia Bielefeld,1,Jonas Kersken,G,25,Germany,33,,0,0,1,88,49,2025-26
2. Bundesliga,Arminia Bielefeld,,Maximilian Bauer,D,26,Germany,17,1,0,4,0,,,2025-26
2. Bundesliga,Arminia Bielefeld,3,Joel Felix,D,28,Denmark,17,2,1,2,0,,,2025-26
2. Bundesliga,Arminia Bielefeld,17,Arne Sicker,D,29,Germany,17,0,2,0,0,,,2025-26
2. Bundesliga,Arminia Bielefeld,29,Tim Handwerker,D,28,Germany,23,4,7,6,0,,,2025-26
2. Bundesliga,Arminia Bielefeld,19,Maximilian Grober,D,25,Germany,29,2,0,1,0,,,2025-26
2. Bundesliga,Arminia Bielefeld,23,Leon Schneider,D,26,Germany,17,0,0,1,0,,,2025-26
2. Bundesliga,Arminia Bielefeld,,Henri Koudossou,D,26,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,2,Felix Hagmann,D,22,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,46,Semih Sarli,D,22,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,21,Stefano Russo,M,26,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,10,Marvin Mehlem,M,28,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,8,Sam Schreck,M,27,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,,Lukas Kunze,M,28,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,,Jannik Rochelt,M,27,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,38,Marius Worl,M,22,Germany,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,44,Eyyüb Yasar,M,18,Türkiye,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,49,Artem Zaloha,G,19,Ukraine,,,,,,,,2025-26
2. Bundesliga,Arminia Bielefeld,47,Philip Hildesheim,G,21,Germany,0,,0,0,0,0,0,2025-26
2. Bundesliga,Arminia Bielefeld,31,Robin Knoche,D,34,Germany,24,3,0,1,0,,,2025-26
2. Bundesliga,Arminia Bielefeld,24,Christopher Lannert,D,28,Germany,28,1,2,4,1,,,2025-26
2. Bundesliga,Arminia Bielefeld,36,Justin Lukas,D,20,Germany,0,0,0,0,0,,,2025-26
2. Bundesliga,VfL Bochum,98,Tom Meyer,M,20,France,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,42,Leon Sawas,,,,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,1,Timo Horn,G,33,Germany,34,,0,1,0,111,47,2025-26
2. Bundesliga,VfL Bochum,22,Niclas Thiede,G,27,Germany,0,,0,2,0,0,0,2025-26
2. Bundesliga,VfL Bochum,38,Hugo Rölleke,G,21,Germany,0,,0,0,0,0,0,2025-26
2. Bundesliga,VfL Bochum,32,Maximilian Wittek,D,30,Germany,29,0,7,7,0,,,2025-26
2. Bundesliga,VfL Bochum,13,Oliver Olsen,D,25,Denmark,14,0,1,5,0,,,2025-26
2. Bundesliga,VfL Bochum,3,Philipp Strompf,D,28,Germany,27,0,0,7,0,,,2025-26
2. Bundesliga,VfL Bochum,18,Mikkel Rakneberg,D,24,Norway,5,0,0,0,0,,,2025-26
2. Bundesliga,VfL Bochum,35,Kacper Koscierski,D,19,Germany,11,0,1,2,0,,,2025-26
2. Bundesliga,VfL Bochum,30,Owono-Darnell Keumo,D,18,Germany,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,23,Koji Miyoshi,M,29,Japan,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,24,Mats Pannewig,M,21,Germany,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,,Moritz Göttlicher,M,18,Germany,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,33,Philipp Hofmann,F,33,Germany,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,17,Gerrit Holtmann,F,31,Philippines,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,9,Ibrahima Sissoko,M,28,Mali,,,,,,,,2025-26
2. Bundesliga,VfL Bochum,7,Kevin Vogt,D,34,Germany,10,0,0,3,0,,,2025-26
2. Bundesliga,VfL Bochum,20,Noah Loosli,D,29,Switzerland,28,0,2,3,0,,,2025-26
2. Bundesliga,VfL Bochum,4,Erhan Masovic,D,27,Serbia,13,0,0,3,0,,,2025-26
2. Bundesliga,VfL Bochum,39,Leandro Morgalla,D,21,Germany,33,1,0,7,0,,,2025-26
2. Bundesliga,TSV Eintracht Braunschweig,,Benjamin Uphoff,G,32,Germany,,,,,,,,2025-26
2. Bundesliga,TSV Eintracht Braunschweig,1,Ron-Thorben Hofmann,G,27,Germany,32,,0,3,0,87,51,2025-26
2. Bundesliga,TSV Eintracht Braunschweig,35,Leon Herdes,G,19,Germany,0,,0,0,0,0,0,2025-26
2. Bundesliga,TSV Eintracht Braunschweig,,Nick Bodon,G,,,,,,,,,,2025-26
2. Bundesliga,TSV Eintracht Braunschweig,,Tristan Wagner,D,21,Germany,,,,,,,,2025-26
2. Bundesliga,TSV Eintracht Braunschweig,,Noah Katterbach,D,25,Germany,,,,,,,,2025-26
2. Bundesliga,TSV Eintracht Braunschweig,21,Kevin Ehlers,D,25,Germany,31,2,2,3,2,,,2025-26
